   20160106013000000.G.INU.00.BH  958.79   1 1    0 0 0     0.00 0     0.00 0    0
  20160106013000000.IC.BJT.00.BH 1098.80   1 1    0 0 0     0.00 0     0.00 0    0
  20160106013000000.IC.HIA.00.BH 1147.12   1 1    0 0 0     0.00 0     0.00 0    0
  20160106013000000.IC.MDJ.00.BH  371.03   1 1    0 0 0     0.00 0     0.00 0    0
  20160106013000000.II.ERM.00.BH 1174.89   1 1    0 0 0     0.00 0     0.00 0    0
  20160106013000000.II.ERM.10.BH 1174.89   1 1    0 0 0     0.00 0     0.00 0    0
 20160106013000000.IU.INCN.00.BH  473.67   1 1    0 0 0     0.00 0     0.00 0    0
 20160106013000000.IU.INCN.10.BH  473.67   1 1    0 0 0     0.00 0     0.00 0    0
 20160106013000000.IU.MAJO.00.BH  951.16   1 1    0 0 0     0.00 0     0.00 0    0
 20160106013000000.IU.MAJO.10.BH  951.16   1 1    0 0 0     0.00 0     0.00 0    0
 20160106013000000.IU.MAJO.60.BH  951.16   1 1    0 0 0     0.00 0     0.00 0    0
  20160106013000000.IU.YSS.00.BH 1260.81   1 1    0 0 0     0.00 0     0.00 0    0
    20160106013000000.KG.TJN..BH  565.83   1 1    0 0 0     0.00 0     0.00 0    0
