     20061009013528000.G.INU..BH  955.32   0 0    1 1 1     0.00 0     0.00 0    0
  20061009013528000.IC.BJT.00.BH 1102.09   0 0    1 1 1     0.00 0     0.00 0    0
  20061009013528000.IC.HIA.00.BH 1150.26   0 0    1 1 1     0.00 0     0.00 0    0
  20061009013528000.IC.MDJ.00.BH  372.07   0 0    1 1 1     0.00 0     0.00 0    0
  20061009013528000.IC.MDJ.10.BH  372.07   0 0    1 1 1     0.00 0     0.00 0    0
  20061009013528000.II.ERM.00.BH 1171.76   0 0    1 1 1     0.00 0     0.00 0    0
 20061009013528000.IU.INCN.00.BH  474.00   0 0    1 1 1     0.00 0     0.00 0    0
 20061009013528000.IU.INCN.10.BH  474.00   0 0    1 1 1     0.00 0     0.00 0    0
 20061009013528000.IU.MAJO.00.BH  947.54   0 0    1 1 1     0.00 0     0.00 0    0
 20061009013528000.IU.MAJO.10.BH  947.54   0 0    1 1 1     0.00 0     0.00 0    0
  20061009013528000.IU.YSS.00.BH 1258.83   0 0    1 1 1     0.00 0     0.00 0    0
