    20090407201255351.AT.PMR..BH    36   1   1   1   1   1   0.00   0.00      0      0      0
   20090407201255351.YV.KASH..BH    49   0   0   1   1   1   0.00   0.00      0      0      0
   20090407201255351.YV.BLAK..BH   104   1   1   1   1   1   0.00   0.00      0      0      0
   20090407201255351.YV.NSKI..BH   121   0   0   1   1   1   0.00   0.00      0      0      0
   20090407201255351.YV.AVAL..BH   122   1   1   1   1   1   0.00   0.00      0      0      0
   20090407201255351.YV.PERI..BH   127   1   1   1   1   1   0.00   0.00      0      0      0
   20090407201255351.YV.HEAD..BH   162   1   1   1   1   1   0.00   0.00      0      0      0
    20090407201255351.AK.DIV..BH   216   1   1   1   1   1   0.00   0.00      0      0      0
   20090407201255351.AK.EYAK..BH   239   1   1   1   1   1   0.00   0.00      0      0      0
    20090407201255351.AK.PAX..BH   280   0   0   1   1   1   0.00   0.00      0      0      0
