    20090407201255000.AK.BMR..BH  281.34   1 1    1 1 1     0.00 0     0.00 0    0
    20090407201255000.AK.DIV..BH  215.75   1 1    1 1 1     0.00 0     0.00 0    0
   20090407201255000.AK.EYAK..BH  238.38   1 1    1 1 1     0.00 0     0.00 0    0
    20090407201255000.AK.FIB..BH   39.68   1 1    1 1 1     0.00 0     0.00 0    0
    20090407201255000.AK.PAX..BH  279.16   1 1    1 1 1     0.00 0     0.00 0    0
   20090407201255000.AK.RC01..BH   40.68   1 1    1 1 1     0.00 0     0.00 0    0
    20090407201255000.AK.SAW..BH   84.55   1 1    1 1 1     0.00 0     0.00 0    0
    20090407201255000.AK.SWD..BH  151.22   1 1    1 1 1     0.00 0     0.00 0    0
    20090407201255000.AK.TRF..BH  224.26   1 1    1 1 1     0.00 0     0.00 0    0
    20090407201255000.AT.MID..BH  293.34   1 1    1 1 1     0.00 0     0.00 0    0
    20090407201255000.AT.PMR..BH   36.04   1 1    1 1 1     0.00 0     0.00 0    0
   20090407201255000.AV.RD01..BH  193.03   1 1    1 1 1     0.00 0     0.00 0    0
   20090407201255000.AV.RD02..BH  192.55   1 1    1 1 1     0.00 0     0.00 0    0
   20090407201255000.AV.RD03..BH  199.46   1 1    1 1 1     0.00 0     0.00 0    0
    20090407201255000.AV.RDW..BH  198.27   1 1    1 1 1     0.00 0     0.00 0    0
   20090407201255000.AV.RDWB..BH  199.50   1 1    1 1 1     0.00 0     0.00 0    0
   20090407201255000.AV.SPBG..BH  142.32   1 1    1 1 1     0.00 0     0.00 0    0
   20090407201255000.YV.ALPI..BH   25.73   1 1    1 1 1     0.00 0     0.00 0    0
   20090407201255000.YV.AVAL..BH  122.08   1 1    1 1 1     0.00 0     0.00 0    0
   20090407201255000.YV.BIGB..BH   15.87   1 1    1 1 1     0.00 0     0.00 0    0
   20090407201255000.YV.BLAK..BH  104.12   1 1    1 1 1     0.00 0     0.00 0    0
   20090407201255000.YV.DEVL..BH  100.96   1 1    1 1 1     0.00 0     0.00 0    0
   20090407201255000.YV.HEAD..BH  162.10   1 1    1 1 1     0.00 0     0.00 0    0
   20090407201255000.YV.HOPE..BH   65.12   1 1    1 1 1     0.00 0     0.00 0    0
   20090407201255000.YV.KASH..BH   49.05   1 1    1 1 1     0.00 0     0.00 0    0
   20090407201255000.YV.LSKI..BH  114.96   1 1    1 1 1     0.00 0     0.00 0    0
   20090407201255000.YV.LSUM..BH   88.31   1 1    1 1 1     0.00 0     0.00 0    0
   20090407201255000.YV.MPEN..BH   89.48   1 1    1 1 1     0.00 0     0.00 0    0
   20090407201255000.YV.NSKI..BH  121.02   1 1    1 1 1     0.00 0     0.00 0    0
   20090407201255000.YV.PERI..BH  127.29   1 1    1 1 1     0.00 0     0.00 0    0
   20090407201255000.YV.RUSS..BH  108.76   1 1    1 1 1     0.00 0     0.00 0    0
   20090407201255000.YV.TUPA..BH   78.33   1 1    1 1 1     0.00 0     0.00 0    0
