    20090407201255000.AK.BMR..BH  281.34   0 0    1 1 1     0.00 0     0.00 0    0
    20090407201255000.AK.DIV..BH  215.75   0 0    1 1 1     0.00 0     0.00 0    0
   20090407201255000.AK.EYAK..BH  238.38   0 0    1 1 1     0.00 0     0.00 0    0
    20090407201255000.AK.PAX..BH  279.16   0 0    1 1 1     0.00 0     0.00 0    0
   20090407201255000.AK.RC01..BH   40.68   0 0    1 1 1     0.00 0     0.00 0    0
    20090407201255000.AK.SAW..BH   84.55   0 0    1 1 1     0.00 0     0.00 0    0
    20090407201255000.AK.SWD..BH  151.22   0 0    1 1 1     0.00 0     0.00 0    0
    20090407201255000.AK.TRF..BH  224.26   0 0    1 1 1     0.00 0     0.00 0    0
    20090407201255000.AT.MID..BH  293.34   0 0    1 1 1     0.00 0     0.00 0    0
    20090407201255000.AT.PMR..BH   36.04   0 0    1 1 1     0.00 0     0.00 0    0
   20090407201255000.YV.ALPI..BH   25.73   0 0    1 1 1     0.00 0     0.00 0    0
   20090407201255000.YV.AVAL..BH  122.08   0 0    1 1 1     0.00 0     0.00 0    0
   20090407201255000.YV.BIGB..BH   15.87   0 0    1 1 1     0.00 0     0.00 0    0
   20090407201255000.YV.BLAK..BH  104.12   0 0    1 1 1     0.00 0     0.00 0    0
   20090407201255000.YV.DEVL..BH  100.96   0 0    1 1 1     0.00 0     0.00 0    0
   20090407201255000.YV.HEAD..BH  162.10   0 0    1 1 1     0.00 0     0.00 0    0
   20090407201255000.YV.HOPE..BH   65.12   0 0    1 1 1     0.00 0     0.00 0    0
   20090407201255000.YV.KASH..BH   49.05   0 0    1 1 1     0.00 0     0.00 0    0
   20090407201255000.YV.LSKI..BH  114.96   0 0    1 1 1     0.00 0     0.00 0    0
   20090407201255000.YV.LSUM..BH   88.31   0 0    1 1 1     0.00 0     0.00 0    0
   20090407201255000.YV.MPEN..BH   89.48   0 0    1 1 1     0.00 0     0.00 0    0
   20090407201255000.YV.NSKI..BH  121.02   0 0    1 1 1     0.00 0     0.00 0    0
   20090407201255000.YV.PERI..BH  127.29   0 0    1 1 1     0.00 0     0.00 0    0
   20090407201255000.YV.RUSS..BH  108.76   0 0    1 1 1     0.00 0     0.00 0    0
   20090407201255000.YV.TUPA..BH   78.33   0 0    1 1 1     0.00 0     0.00 0    0
