    20210809074550000.AK.BAE..BH   14.91   1 1    1 1 1     0.00 0     0.00 0    0
   20210809074550000.AK.BAGL..BH  329.53   1 1    1 0 0     0.00 0     0.00 0    0
   20210809074550000.AK.BERG..BH  250.21   1 1    1 0 0     0.00 0     0.00 0    0
   20210809074550000.AK.BGLC..BH  284.27   1 1    1 1 0     0.00 0     0.00 0    0
   20210809074550000.AK.BRLK..BH  231.79   1 1    1 0 0     0.00 0     0.00 0    0
   20210809074550000.AK.BRSE..BH  226.34   1 1    1 0 0     0.00 0     0.00 0    0
   20210809074550000.AK.CAST..BH  323.40   1 1    1 1 1     0.00 0     0.00 0    0
    20210809074550000.AK.CNP..BH  262.96   1 1    1 0 0     0.00 0     0.00 0    0
    20210809074550000.AK.DHY..BH  206.79   1 1    1 1 1     0.00 0     0.00 0    0
    20210809074550000.AK.DIV..BH  118.18   1 1    1 1 1     0.00 0     0.00 0    0
    20210809074550000.AK.DOT..BH  335.23   1 1    1 1 0     0.00 0     0.00 0    0
   20210809074550000.AK.EYAK..BH  142.56   1 1    1 1 1     0.00 0     0.00 0    0
    20210809074550000.AK.FID..BH   93.21   1 1    1 1 1     0.00 0     0.00 0    0
    20210809074550000.AK.GLB..BH  223.11   1 1    1 1 1     0.00 0     0.00 0    0
    20210809074550000.AK.GLI..BH   61.60   1 1    1 1 1     0.00 0     0.00 0    0
    20210809074550000.AK.HIN..BH  122.98   1 1    1 1 0     0.00 0     0.00 0    0
   20210809074550000.AK.KHIT..BH  270.96   1 1    1 0 0     0.00 0     0.00 0    0
    20210809074550000.AK.KNK..BH   32.93   1 1    1 1 1     0.00 0     0.00 0    0
   20210809074550000.AK.MCAR..BH  264.87   1 1    1 1 1     0.00 0     0.00 0    0
    20210809074550000.AK.MCK..BH  282.25   1 1    1 1 1     0.00 0     0.00 0    0
   20210809074550000.AK.MESA..BH  348.69   1 1    1 1 0     0.00 0     0.00 0    0
    20210809074550000.AK.PAX..BH  232.51   1 1    1 1 1     0.00 0     0.00 0    0
   20210809074550000.AK.PPLA..BH  287.93   1 1    1 1 1     0.00 0     0.00 0    0
   20210809074550000.AK.PS11..BH  161.45   1 1    1 0 1     0.00 0     0.00 0    0
    20210809074550000.AK.PWL..BH   47.06   1 1    1 1 1     0.00 0     0.00 0    0
   20210809074550000.AK.RIDG..BH  321.48   1 1    1 1 0     0.00 0     0.00 0    0
    20210809074550000.AK.SAW..BH   66.21   1 1    1 1 1     0.00 0     0.00 0    0
    20210809074550000.AK.SCM..BH   74.02   1 1    1 1 1     0.00 0     0.00 0    0
    20210809074550000.AK.SKN..BH  206.67   1 1    1 1 1     0.00 0     0.00 0    0
    20210809074550000.AK.SWD..BH  150.56   1 1    1 1 1     0.00 0     0.00 0    0
    20210809074550000.AK.TRF..BH  274.24   1 1    1 1 1     0.00 0     0.00 0    0
    20210809074550000.AK.VMT..BH   87.47   1 1    1 1 0     0.00 0     0.00 0    0
   20210809074550000.AK.WAT6..BH  149.87   1 1    1 1 1     0.00 0     0.00 0    0
   20210809074550000.AK.WAT7..BH  183.52   1 1    1 1 0     0.00 0     0.00 0    0
   20210809074550000.AV.SPCP..BH  225.18   1 1    1 0 1     0.00 0     0.00 0    0
